recency,frequency,monetary,cluster,customer_segment,dbscan_cluster
1,168,3174.62,1,VIP Customers,0
74,19,601.64,2,At Risk Customers,0
18,66,1145.35,1,VIP Customers,0
309,17,334.4,2,At Risk Customers,0
35,80,1505.74,1,VIP Customers,0
203,4,89.0,0,Churned Customers,0
231,56,971.24,2,At Risk Customers,0
213,11,264.4,0,Churned Customers,0
22,33,708.93,3,Loyal Customers,0
32,75,1567.07,1,VIP Customers,0
1,9,142.66,3,Loyal Customers,0
57,225,4239.53,1,VIP Customers,0
51,121,1915.36,1,VIP Customers,0
286,10,189.9,0,Churned Customers,0
2,254,4600.53,1,VIP Customers,0
109,21,413.28,2,At Risk Customers,0
7,83,1203.3,1,VIP Customers,0
290,21,320.69,2,At Risk Customers,0
3,11,168.9,3,Loyal Customers,0
50,147,2272.28,1,VIP Customers,0
59,57,1237.26,2,At Risk Customers,0
71,44,836.9399999999999,2,At Risk Customers,0
310,14,364.6,0,Churned Customers,0
24,31,570.91,3,Loyal Customers,0
10,16,395.1,3,Loyal Customers,0
314,70,1213.02,2,At Risk Customers,0
129,214,3729.68,1,VIP Customers,0
81,38,731.04,2,At Risk Customers,0
21,94,1765.47,1,VIP Customers,0
4,84,1457.31,1,VIP Customers,0
184,91,1413.22,2,At Risk Customers,0
28,25,425.27,3,Loyal Customers,0
366,6,144.3,0,Churned Customers,0
15,83,1782.34,1,VIP Customers,0
79,31,504.84,2,At Risk Customers,0
21,93,439.66,3,Loyal Customers,0
71,58,1193.5,2,At Risk Customers,0
63,22,420.92,2,At Risk Customers,0
18,147,2488.53,1,VIP Customers,0
35,122,2036.4,1,VIP Customers,0
45,82,1311.76,2,At Risk Customers,0
118,56,944.4,2,At Risk Customers,0
302,5,84.3,0,Churned Customers,0
322,11,225.6,0,Churned Customers,0
49,2,45.9,0,Churned Customers,0
148,44,906.49,2,At Risk Customers,0
21,82,1833.99,1,VIP Customers,0
49,71,1292.68,2,At Risk Customers,0
32,82,1366.29,1,VIP Customers,0
78,13,389.19,2,At Risk Customers,0
308,25,533.33,2,At Risk Customers,0
74,55,932.34,2,At Risk Customers,0
66,36,656.4,2,At Risk Customers,0
216,15,372.81,2,At Risk Customers,0
24,107,1614.37,1,VIP Customers,0
2,180,3019.9,1,VIP Customers,0
112,30,428.63,2,At Risk Customers,0
63,29,600.39,2,At Risk Customers,0
15,43,695.04,3,Loyal Customers,0
