recency,frequency,monetary
1,168,3174.62
74,19,601.64
18,66,1145.35
309,17,334.4
35,80,1505.74
203,4,89.0
231,56,971.24
213,11,264.4
22,33,708.93
32,75,1567.07
1,9,142.66
57,225,4239.53
51,121,1915.36
286,10,189.9
2,254,4600.53
109,21,413.28000000000003
7,83,1203.3
290,21,320.69
3,11,168.9
50,147,2272.28
59,57,1237.26
71,44,836.9399999999999
310,14,364.6
24,31,570.91
10,16,395.1
314,70,1213.02
129,214,3729.68
81,38,731.04
21,94,1765.47
4,84,1457.31
184,91,1413.22
28,25,425.27000000000004
366,6,144.3
15,83,1782.3400000000001
79,31,504.84000000000003
21,93,439.66
71,58,1193.5
63,22,420.91999999999996
18,147,2488.53
35,122,2036.4
45,82,1311.76
118,56,944.4
302,5,84.3
322,11,225.6
49,2,45.9
148,44,906.49
21,82,1833.99
49,71,1292.68
32,82,1366.29
78,13,389.19
308,25,533.33
74,55,932.34
66,36,656.4
216,15,372.81
24,107,1614.37
2,180,3019.9
112,30,428.63
63,29,600.39
15,43,695.04
95,38,683.5600000000001
0,121,1683.39
162,16,273.52
77,32,536.4
194,29,510.73
21,25,471.15999999999997
25,265,4930.4800000000005
8,63,1220.66
42,10,208.6
59,214,4008.17
42,64,1055.12
0,323,6353.54
84,48,713.54
267,2,78.0
99,12,286.36
1,179,3610.2
13,85,1534.65
366,11,173.55
2,12,172.06
20,153,3030.71
21,3,77.4
57,57,1002.3100000000001
242,25,431.49
43,20,300.45
21,179,3152.69
155,7,131.88
10,310,6132.5
16,20,304.67
133,43,707.09
72,76,1487.7
43,113,1971.76
85,53,1169.6299999999999
70,33,631.7
154,30,436.08
18,60,937.59
52,83,1344.78
9,15,317.5
16,47,742.1899999999999
187,37,658.74
1,346,7221.9
31,316,5054.83
28,160,2569.0
16,413,6770.68
53,34,621.68
15,196,3966.92
22,198,4100.9
3,35,545.99
10,30,473.2
27,147,2474.03
22,192,3795.82
16,60,1301.64
34,337,3837.32
9,48,884.84
335,15,334.93
4,229,4319.63
38,25,413.6
62,20,263.21000000000004
165,22,433.74
15,77,1246.1000000000001
81,3,83.4
20,23,403.70000000000005
22,37,640.84
336,148,2025.39
95,133,2285.87
17,5,92.65
232,23,73.5
133,11,251.76000000000002
25,68,397.88
283,5,77.5
142,28,499.45
65,31,132.18
112,34,558.29
266,50,957.98
352,15,278.7
77,13,330.88
27,277,2337.6
0,120,1852.83
63,16,276.84
78,147,2300.54
142,37,545.68
38,12,192.72
18,106,1789.77
8,117,2091.42
0,70,1244.66
81,16,247.91000000000003
8,85,1552.33
59,61,1301.18
14,17,125.22
29,15,304.83000000000004
130,62,981.18
91,32,627.25
58,254,4017.81
28,21,363.95
21,263,4595.85
19,409,7646.94
29,50,849.48
